symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ALB	0.02193545294085913	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18041077230366506	No data	No data	No data	0	1	1	1	1	0	No data	-0.6427380704313399	-0.05377051238253633	0	No data	No data	0	1	0
NSG2	0.0219145951045919	0.03604784490387362	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8537999999999997	No data	-0.590018753907064	-0.05377051238253633	0	No data	No data	0	1	0.5
PEPD	0.021856541961770278	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17976175946043624	No data	No data	No data	0	0	0	1	1	0.45233500000000004	No data	0.4082100437591165	-0.9625175982417191	0	No data	No data	0	0.5	-1
PHTF1	0.021793156624787972	0.035848087825796605	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6784799999999997	No data	0.3174619712440092	0	0	No data	No data	0	-1	-1
MTCH1	0.021774014811778392	0.03581660099689308	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9100250000000003	No data	-0.5745988747655761	No data	0	No data	No data	0	-1	-1
CHI3L1	0.0217641469980991	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17900184596342172	No data	No data	No data	0	1	0	0	1	0	No data	0.016565951239841725	0	0	No data	No data	0	0.5	0
B2M	0.021464376671521512	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17653634883977462	No data	No data	No data	1	1	0	0	1	0	No data	-0.2470306313815378	-0.8702122431272286	0	No data	-1	0	-1	-1
IKZF3	0.021233859138973833	0.03492808593082525	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.3320250000000001	0	-0.7647426547197332	-0.6953467312697617	0	No data	-1	0	0.75	0
NLRP3	0.021018128418418373	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17286612638307133	No data	No data	0.5	0	1	No data	No data	No data	0.13926500000000033	1	-0.47228589289435297	-0.9329632358017148	0	No data	No data	0	1	0
CD74	0.020924366868655512	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17209497323429832	No data	No data	1	0	0	1	1	1	0	No data	-0.4173786205459471	0	0	No data	No data	No data	0.5	-1
